OrderID,WinesChampagnes,BeersCoolers,Spirits,RedWines
1557722,0,1,0,2
1562006,0,0,0,4
1563247,0,10,14,6
1626909,0,2,0,6
1672689,0,0,0,3
1789974,0,6,0,7
1824019,0,0,0,1
1884566,0,0,0,25
1885475,0,0,0,27
1947760,0,6,0,5
1947760,0,7,0,5
1953037,5,0,0,4
1986716,0,6,0,7
1986716,0,5,0,7
1986716,0,4,0,7
2005457,0,0,1,5
2101623,10,0,0,16
2130623,0,0,0,11
2164569,0,0,0,7
2217768,0,0,0,4
2233322,0,0,0,5
2266550,0,2,0,6
2266550,0,1,0,6
2307752,0,9,8,7
2359746,1,12,0,8
2359746,1,4,0,8
2359746,1,14,0,8
2359746,1,17,0,8
2359746,1,11,0,8
2359746,1,13,0,8
2359746,1,15,0,8
2359746,1,16,0,8
2359746,1,2,0,8
2359746,1,3,0,8
2410484,17,0,20,18
2427409,0,0,0,9
2452570,17,9,0,18
2452570,17,10,0,18
2452570,17,11,0,18
2462595,0,0,0,5
2525185,0,1,0,3
2558825,1,0,0,3
2558825,2,0,0,3
2573199,0,0,0,11
2593152,0,2,0,6
2593152,0,1,0,6
2593152,0,3,0,6
2593152,0,4,0,6
2624241,0,0,0,2
2654633,0,2,0,3
2654633,0,1,0,3
2719338,0,0,0,4
2743022,0,0,0,7
2792293,0,0,0,9
2826788,0,4,0,1
2826788,0,3,0,1
2853973,0,4,0,8
2853973,0,3,0,8
2853973,0,5,0,8
2853973,0,1,0,8
2853973,0,2,0,8
2853973,0,7,0,8
2853973,0,6,0,8
2866178,0,0,0,11
2916698,0,0,0,4
2920197,0,0,0,10
2928995,0,0,0,2
2963837,0,0,0,6
2987463,0,0,0,1
3012252,0,32,0,24
3012252,0,1,0,24
3012252,0,25,0,24
3013996,0,0,0,1
3019355,0,0,0,10
3030205,0,7,0,6
3033560,0,0,0,4
3048552,0,1,0,6
3048552,0,2,0,6
3048552,0,3,0,6
3048552,0,4,0,6
3050972,0,7,0,10
3080925,0,0,0,9
3092338,0,0,0,1
3107844,0,0,0,3
3108764,0,8,0,1
3170767,0,1,0,3
3289091,0,0,0,14
3293535,0,0,0,2
3317733,0,1,0,8
3348338,0,2,0,3
3348338,0,1,0,3
3348816,0,0,0,1
3363989,0,0,0,1
3375068,0,0,0,1
3389822,0,0,0,5
3392403,0,0,0,2
3396981,0,0,0,1
9201,0,0,0,2
13120,0,0,0,14
13764,2,0,0,4
16032,0,0,0,1
16987,0,6,0,3
16987,0,7,0,3
27943,0,0,0,3
33528,0,0,0,7
47454,7,0,3,6
47454,7,0,2,6
47454,7,0,1,6
62873,0,0,17,18
64446,0,0,0,3
65778,0,0,0,7
68082,0,0,0,3
68482,0,5,0,10
68482,0,6,0,10
68482,0,4,0,10
68482,0,7,0,10
88775,0,1,0,3
92345,0,0,0,8
96580,0,0,0,15
105652,0,0,0,2
114703,0,0,0,1
115408,0,0,0,1
117845,0,15,0,10
127666,0,2,0,3
127666,0,1,0,3
136426,0,0,1,3
136426,0,0,2,3
161598,0,14,21,2
168792,0,0,0,13
184871,0,0,1,2
192322,0,0,0,3
201736,0,0,0,3
204588,0,0,0,2
209210,0,0,0,4
212359,1,2,0,3
214267,0,0,0,6
223332,0,8,0,7
223686,1,0,5,8
225110,0,2,0,1
225110,0,5,0,1
225110,0,6,0,1
225110,0,3,0,1
225110,0,4,0,1
226304,0,0,0,8
248611,0,0,0,5
251371,0,0,0,2
252251,0,0,0,4
261662,0,0,0,7
269469,0,1,0,10
269469,0,2,0,10
269469,0,5,0,10
269469,0,6,0,10
269469,0,4,0,10
269469,0,9,0,10
269469,0,3,0,10
269469,0,8,0,10
279310,2,0,4,5
289005,0,0,0,2
290217,0,5,0,1
301555,0,0,0,2
304096,0,0,0,1
307296,0,0,0,10
329037,0,0,0,6
333866,0,10,3,1
344489,0,0,0,10
345489,0,1,0,6
345489,0,2,0,6
345855,0,0,0,1
349038,0,1,0,3
349038,0,2,0,3
355226,0,0,0,3
357062,0,0,7,4
359233,11,0,0,9
359233,10,0,0,9
365941,0,9,0,10
372097,0,0,0,10
391277,0,0,0,13
395071,0,0,0,1
405681,0,7,0,5
419734,13,2,0,12
419734,13,5,0,12
419734,13,4,0,12
419734,13,7,0,12
419734,13,3,0,12
419734,13,6,0,12
420145,0,0,0,7
424431,0,0,0,3
431241,0,0,0,1
432185,0,0,2,1
433057,0,0,0,10
434383,0,0,0,12
437297,0,0,0,2
460550,0,10,13,5
461532,0,6,8,5
461532,0,7,8,5
463083,0,0,0,1
481742,0,0,0,10
482831,0,0,0,5
483890,0,17,0,5
486782,0,0,0,12
488175,0,0,0,3
492133,1,0,0,3
493885,0,0,0,5
494594,0,0,0,1
495434,0,0,0,1
499565,0,4,0,6
499565,0,3,0,6
502670,0,0,0,1
505278,0,0,8,7
505284,0,0,0,4
506450,0,0,3,1
515886,0,0,0,17
540186,0,0,27,4
546014,0,0,0,7
549223,0,0,0,12
552432,0,0,0,3
559461,0,0,0,1
573304,0,14,1,9
573304,0,14,3,9
573304,0,14,2,9
573304,0,14,13,9
573304,0,14,5,9
573304,0,14,6,9
573304,0,14,4,9
582180,0,8,0,2
582180,0,6,0,2
582180,0,9,0,2
582180,0,5,0,2
582180,0,7,0,2
582317,0,0,0,13
592992,16,8,0,4
597740,0,0,0,2
610349,0,0,0,8
610828,0,0,0,12
611189,0,0,16,3
632072,0,14,0,6
642257,0,0,0,3
650427,0,0,0,6
652143,0,0,0,9
654601,0,0,0,2
655228,0,0,0,1
666135,0,0,0,10
670535,0,3,0,4
672319,0,0,0,4
678729,4,0,0,3
689324,0,0,0,2
698405,0,0,0,11
712735,0,8,0,5
712735,0,9,0,5
712735,0,7,0,5
713738,0,7,15,12
713738,0,2,14,12
713738,0,1,15,12
713738,0,7,14,12
713738,0,6,15,12
713738,0,1,14,12
713738,0,4,5,12
713738,0,4,24,12
713738,0,6,14,12
713738,0,2,5,12
713738,0,2,24,12
713738,0,7,5,12
713738,0,7,24,12
713738,0,1,5,12
713738,0,1,24,12
713738,0,4,15,12
713738,0,6,5,12
713738,0,6,24,12
713738,0,2,15,12
713738,0,4,14,12
715061,0,4,0,10
715526,0,0,0,2
720880,0,0,0,6
745041,0,0,0,1
752945,0,0,10,6
753791,0,0,0,6
757114,0,0,0,6
758448,5,0,0,4
759539,3,12,0,9
759539,2,14,0,9
759539,2,12,0,9
759539,4,13,0,9
759539,3,13,0,9
759539,2,13,0,9
759539,4,15,0,9
759539,3,15,0,9
759539,2,15,0,9
759539,4,11,0,9
759539,4,14,0,9
759539,3,11,0,9
759539,4,12,0,9
759539,3,14,0,9
759539,2,11,0,9
763442,0,11,0,7
766835,1,11,0,5
766835,1,6,0,5
769046,0,0,0,6
779934,0,0,0,5
781252,0,0,0,10
783406,0,0,0,2
787290,0,0,0,2
787658,0,1,0,5
787658,0,2,0,5
789670,0,0,0,3
790325,0,0,4,6
790449,0,0,0,14
803459,0,0,0,6
805271,0,0,0,22
817058,0,0,0,1
828490,0,3,0,10
831962,0,0,0,3
838581,0,3,0,4
843126,0,0,0,7
844584,0,2,0,6
844584,0,13,0,6
844584,0,1,0,6
844584,0,3,0,6
846507,0,0,0,1
849425,0,0,0,6
850647,0,1,0,2
850647,0,3,0,2
850647,0,4,0,2
859462,5,2,0,8
859462,5,1,0,8
859462,10,2,0,8
859462,10,1,0,8
859462,5,3,0,8
859462,10,3,0,8
859462,5,4,0,8
859462,10,4,0,8
859774,0,0,0,4
867392,0,0,3,2
875823,0,0,0,1
877752,0,0,0,16
878101,7,0,0,13
880769,0,0,0,5
888111,0,0,5,11
888368,0,0,0,5
901290,0,0,0,1
918767,0,7,1,14
918767,0,6,4,14
918767,0,5,4,14
918767,0,8,4,14
918767,0,6,3,14
918767,0,6,2,14
918767,0,7,4,14
918767,0,5,3,14
918767,0,6,1,14
918767,0,5,2,14
918767,0,8,3,14
918767,0,5,1,14
918767,0,8,2,14
918767,0,7,3,14
918767,0,8,1,14
918767,0,7,2,14
921371,0,0,0,5
925819,0,0,0,2
934292,0,8,0,3
934292,0,6,0,3
934292,0,12,0,3
934292,0,13,0,3
934292,0,7,0,3
934292,0,4,0,3
934292,0,14,0,3
943564,0,9,0,2
943564,0,8,0,2
943564,0,10,0,2
944769,0,0,0,23
945908,0,0,0,1
947026,11,1,0,6
947026,10,5,0,6
947026,9,5,0,6
947026,11,5,0,6
947026,10,2,0,6
947026,9,2,0,6
947026,10,4,0,6
947026,11,2,0,6
947026,10,3,0,6
947026,9,4,0,6
947026,10,1,0,6
947026,9,3,0,6
947026,11,4,0,6
947026,9,1,0,6
947026,11,3,0,6
948256,0,0,0,3
953562,0,0,0,6
956435,0,0,0,7
962567,0,0,0,24
967215,0,0,0,4
980080,0,0,0,1
987940,0,7,0,12
987940,0,9,0,12
987940,0,11,0,12
987940,0,8,0,12
994534,0,0,0,2
996717,0,0,0,5
999675,0,0,0,2
999901,0,8,0,1
999901,0,6,0,1
999901,0,7,0,1
1025052,13,0,0,7
1027655,0,0,0,3
1029193,0,3,0,2
1032938,0,0,0,9
1044811,0,0,0,3
1046596,0,0,0,5
1047765,0,0,0,1
1055850,0,0,0,6
1058226,0,0,0,4
1079377,0,3,0,10
1079377,0,2,0,10
1079377,0,1,0,10
1079377,0,4,0,10
1085215,2,0,0,6
1092967,0,3,0,7
1108338,0,0,0,1
1110583,0,14,1,6
1110583,0,17,3,6
1110583,0,15,2,6
1110583,0,18,1,6
1110583,0,16,3,6
1110583,0,12,2,6
1110583,0,15,1,6
1110583,0,13,3,6
1110583,0,19,2,6
1110583,0,12,1,6
1110583,0,14,3,6
1110583,0,17,2,6
1110583,0,19,1,6
1110583,0,18,3,6
1110583,0,16,2,6
1110583,0,17,1,6
1110583,0,15,3,6
1110583,0,13,2,6
1110583,0,16,1,6
1110583,0,12,3,6
1110583,0,14,2,6
1110583,0,13,1,6
1110583,0,19,3,6
1110583,0,18,2,6
1112932,0,0,0,3
1123721,0,4,0,1
1139540,0,0,0,6
1164862,0,0,1,2
1165659,0,0,0,3
1180250,2,0,0,1
1183116,0,0,12,4
1183706,0,0,0,6
1186035,0,0,0,2
1189798,0,0,0,5
1190694,0,7,0,12
1193774,0,5,14,15
1203084,0,2,0,8
1214113,0,0,0,12
1221783,0,0,6,8
1223553,0,0,0,3
1230487,0,4,1,3
1230843,0,5,0,7
1231889,0,0,0,4
1242883,0,9,6,11
1243036,0,0,0,9
1258668,0,10,0,5
1258668,0,9,0,5
1265625,0,0,0,4
1269071,0,0,0,3
1275438,0,0,0,9
1275809,0,0,0,4
1279251,0,0,0,11
1279737,4,1,0,5
1282305,0,0,0,2
1309706,0,0,0,1
1314405,0,0,0,5
1318546,0,0,0,5
1321467,0,0,0,3
1343326,0,0,0,5
1377360,0,0,0,2
1381211,0,1,0,7
1387921,0,0,0,6
1396106,0,0,0,3
1417269,0,0,0,16
1424618,0,0,0,10
1431298,0,0,0,6
1451934,0,0,0,1
1461747,0,0,0,3
1464582,0,1,0,5
1476076,0,0,0,1
1489386,0,0,0,9
1490541,0,0,0,2
1492537,0,8,0,6
1492537,0,9,0,6
1492537,0,7,0,6
1493247,0,1,0,6
1493247,0,8,0,6
1493247,0,9,0,6
1495579,0,0,0,2
1511474,0,2,0,5
1511474,0,3,0,5
1511474,0,1,0,5
1524861,0,1,0,2
1533423,0,0,0,1
1533806,0,5,1,3
1536551,0,3,0,2
1536645,0,1,0,3
1536645,0,2,0,3
1550085,14,0,0,10
1559647,0,0,0,2
1561247,0,0,0,4
1562740,3,0,4,5
1563214,0,0,0,3
1567462,0,0,0,1
1574646,0,0,0,8
1575206,0,0,0,6
1577767,0,0,0,1
1579174,0,0,0,13
1586996,0,1,0,4
1598095,12,0,0,11
1608582,0,2,0,10
1614188,0,0,1,2
1617549,0,6,0,13
1662119,7,3,0,11
1662119,7,4,0,11
1662119,7,21,0,11
1662119,7,6,0,11
1662119,7,5,0,11
1662563,0,0,0,8
1667963,0,1,0,4
1667963,0,2,0,4
1676774,0,0,0,11
1677442,0,0,0,9
1682485,0,9,0,4
1685614,0,0,2,6
1685614,0,0,1,6
1685614,0,0,4,6
1685614,0,0,3,6
1713987,0,0,0,1
1726294,0,0,0,3
1731854,0,1,0,8
1731854,0,4,0,8
1731854,0,3,0,8
1731854,0,2,0,8
1733443,0,0,1,4
1745755,0,0,0,8
1749327,0,0,0,4
1749424,0,0,0,7
1762867,0,0,0,1
1763789,0,0,0,7
1768530,1,0,0,3
1772078,0,0,0,2
1811339,0,0,0,5
1817271,0,0,0,1
1821387,0,0,0,11
1826873,0,0,0,7
1835508,0,0,0,2
1848731,0,0,0,9
1857548,0,6,1,3
1860085,0,0,0,1
1862404,0,0,4,1
1863287,0,0,0,14
1875796,0,3,0,14
1885887,0,0,0,2
1897043,0,4,0,1
1898914,0,3,0,17
1899001,0,0,0,1
1915469,0,0,0,4
1915473,0,8,0,7
1918109,0,5,0,2
1918109,0,1,0,2
1922098,0,0,0,3
1923242,0,0,0,2
1936094,0,0,0,1
1937493,0,20,0,36
1937493,0,16,0,36
1937493,0,21,0,36
1937493,0,19,0,36
1937493,0,17,0,36
1937493,0,18,0,36
1937493,0,33,0,36
1937493,0,32,0,36
1941784,0,0,1,3
1941784,0,0,5,3
1941784,0,0,8,3
1942241,0,0,0,10
1946583,0,0,0,8
1946981,0,0,0,13
1949193,0,0,0,1
1972278,0,0,0,1
1973240,0,0,0,6
1974546,0,0,0,6
1976268,0,0,0,5
1986779,0,3,0,5
1986779,0,4,0,5
1986779,0,2,0,5
1996107,0,0,0,1
1997389,0,0,0,11
2002343,0,0,0,4
2015178,0,0,0,5
2015826,0,13,0,14
2016948,0,0,0,6
2017832,0,0,0,16
2023261,0,2,0,5
2023261,0,1,0,5
2036885,0,9,2,7
2036885,0,9,3,7
2036885,0,10,2,7
2036885,0,10,3,7
2036885,0,1,2,7
2036885,0,1,3,7
2037968,0,0,0,11
2041889,0,4,0,1
2044488,0,0,0,4
2048076,0,6,0,4
2048076,0,2,0,4
2050178,0,0,0,3
2057257,0,4,0,1
2065579,0,0,0,5
2069375,0,6,0,10
2069375,0,7,0,10
2069375,0,5,0,10
2069375,0,4,0,10
2069375,0,11,0,10
2069575,0,0,0,9
2079803,0,0,0,3
2083235,0,0,1,5
2083235,0,0,2,5
2095102,0,1,0,2
2100651,1,4,2,7
2103302,0,0,0,4
2107647,0,0,0,10
2114024,14,0,0,5
2115083,0,1,0,3
2119175,0,0,1,3
2123700,0,0,0,6
2124519,0,0,0,8
2131447,0,0,0,11
2136519,0,1,0,9
2136519,0,2,0,9
2136519,0,4,0,9
2136519,0,3,0,9
2136519,0,5,0,9
2151944,6,18,3,10
2151944,6,21,3,10
2151944,6,24,3,10
2151944,7,18,2,10
2151944,7,21,2,10
2151944,7,20,2,10
2151944,6,22,5,10
2151944,6,23,5,10
2151944,6,25,4,10
2151944,7,24,4,10
2151944,7,22,3,10
2151944,7,23,3,10
2151944,6,20,3,10
2151944,6,16,2,10
2151944,6,17,2,10
2151944,7,16,2,10
2151944,7,17,5,10
2151944,6,19,5,10
2151944,7,18,4,10
2151944,7,21,4,10
2151944,7,20,4,10
2151944,7,25,3,10
2151944,7,19,3,10
2151944,6,18,2,10
2151944,6,21,2,10
2151944,6,24,2,10
2151944,6,25,5,10
2151944,7,24,5,10
2151944,6,16,4,10
2151944,6,17,4,10
2151944,7,16,4,10
2151944,6,22,3,10
2151944,6,23,3,10
2151944,7,22,2,10
2151944,7,23,2,10
2151944,6,20,2,10
2151944,7,18,5,10
2151944,7,21,5,10
2151944,7,20,5,10
2151944,6,18,4,10
2151944,6,21,4,10
2151944,6,24,4,10
2151944,7,17,3,10
2151944,6,19,3,10
2151944,7,25,2,10
2151944,7,19,2,10
2151944,6,16,5,10
2151944,6,17,5,10
2151944,7,16,5,10
2151944,7,22,4,10
2151944,7,23,4,10
2151944,6,20,4,10
2151944,6,25,3,10
2151944,7,24,3,10
2151944,6,22,2,10
2151944,6,23,2,10
2151944,6,18,5,10
2151944,6,21,5,10
2151944,6,24,5,10
2151944,7,25,4,10
2151944,7,19,4,10
2151944,7,18,3,10
2151944,7,21,3,10
2151944,7,20,3,10
2151944,7,17,2,10
2151944,6,19,2,10
2151944,7,22,5,10
2151944,7,23,5,10
2151944,6,20,5,10
2151944,6,22,4,10
2151944,6,23,4,10
2151944,6,16,3,10
2151944,6,17,3,10
2151944,7,16,3,10
2151944,6,25,2,10
2151944,7,24,2,10
2151944,7,25,5,10
2151944,7,19,5,10
2151944,7,17,4,10
2151944,6,19,4,10
2161865,0,0,0,2
2163257,0,4,0,17
2170183,0,8,0,1
2170183,0,10,0,1
2170258,0,0,0,4
2177156,0,2,0,3
2185690,0,0,0,10
2188696,0,0,0,26
2192703,0,0,0,2
2198947,0,19,8,14
2198947,0,3,8,14
2215356,0,3,5,2
2252273,0,1,0,2
2258225,0,0,0,3
2258308,0,0,0,12
2270973,0,1,0,2
2271033,0,0,0,2
2275326,0,0,0,3
2277769,0,0,0,1
2286902,0,0,0,3
2287403,0,0,3,2
2295468,0,0,0,7
2305400,0,2,0,4
2305400,0,1,0,4
2311940,0,0,3,10
2312889,0,15,0,22
2326549,0,0,0,17
2331617,0,10,0,3
2337855,0,5,0,3
2337855,0,6,0,3
2337855,0,4,0,3
2348366,0,0,0,4
2349550,0,0,0,4
2356063,0,3,0,2
2365920,0,0,0,1
2366800,0,3,0,2
2367817,0,0,0,2
2377956,0,0,0,8
2379979,0,10,0,3
2385795,7,5,3,8
2385795,7,6,3,8
2385795,7,4,3,8
2390201,0,0,0,6
2395097,0,0,0,4
2412396,0,0,1,9
2412754,0,0,0,3
2418006,0,0,68,67
2420427,0,0,0,5
2429769,0,1,0,11
2429769,0,3,0,11
2429769,0,2,0,11
2433921,0,3,0,1
2444353,0,0,0,26
2451152,0,0,0,1
2474723,0,12,0,2
2474723,0,13,0,2
2474913,0,0,0,2
2479944,0,0,0,12
2497841,0,0,0,4
2511804,0,1,0,3
2518105,0,0,0,2
2528605,0,0,0,3
2532553,0,5,0,3
2539985,0,0,0,11
2542527,0,3,7,5
2542527,0,2,7,5
2546237,0,0,0,11
2558631,0,0,0,18
2581504,0,0,0,2
2583670,0,1,0,5
2583670,0,2,0,5
2583670,0,3,0,5
2584661,0,2,0,4
2584661,0,3,0,4
2584661,0,1,0,4
2588881,0,6,0,2
2595699,0,0,0,3
2599463,0,1,0,5
2607692,0,0,0,2
2609452,0,0,0,1
2615975,0,0,0,2
2618763,0,4,0,2
2622160,3,6,0,2
2629801,0,0,0,19
2630819,0,0,0,9
2631548,0,0,0,13
2634095,0,0,12,15
2636544,1,0,0,5
2636544,6,0,0,5
2642854,0,0,0,14
2646508,0,0,0,7
2649899,2,0,0,3
2654094,0,10,0,9
2654488,0,0,4,9
2654488,0,0,1,9
2654488,0,0,5,9
2654488,0,0,6,9
2666971,0,0,0,1
2673252,0,11,0,5
2673252,0,10,0,5
2673633,0,12,4,8
2676713,0,0,0,5
2679400,0,0,0,4
2683871,0,0,0,5
2687746,7,0,0,4
2691304,0,0,0,30
2705682,4,0,0,2
2708091,0,0,0,2
2709994,0,2,0,1
2715449,0,5,0,3
2727090,0,0,0,6
2733591,0,0,0,5
2745650,0,2,0,3
2745650,0,1,0,3
2749859,6,4,0,8
2749859,6,2,0,8
2749859,6,1,0,8
2749859,6,3,0,8
2749859,6,5,0,8
2777716,0,0,0,15
2779814,0,0,0,9
2780160,0,2,0,1
2798286,0,0,0,7
2806951,0,0,0,1
2815162,0,13,0,12
2828002,0,0,0,6
2832203,0,0,6,13
2832203,0,0,1,13
2832203,0,0,9,13
2832203,0,0,2,13
2835489,0,0,0,1
2838132,0,2,0,5
2838132,0,1,0,5
2842822,0,0,0,14
2862820,0,0,1,9
2863077,0,0,0,15
2867771,4,0,0,3
2900428,0,0,0,8
2912301,0,6,0,11
2912301,0,1,0,11
2912301,0,5,0,11
2912301,0,3,0,11
2912301,0,9,0,11
2912301,0,2,0,11
2912657,0,9,0,3
2912773,0,0,0,1
2912868,0,0,0,4
2913919,0,0,0,6
2921589,0,3,0,7
2921589,0,4,0,7
2921589,0,5,0,7
2921589,0,2,0,7
2925119,0,0,1,7
2935988,0,0,0,2
2939228,19,0,0,3
2941465,0,0,0,5
2944913,0,0,0,1
2949342,2,0,0,4
2962128,0,0,0,3
2962520,0,0,0,24
2969263,0,0,0,1
2969302,0,1,0,9
2969302,0,2,0,9
2969302,0,10,0,9
2969302,0,4,0,9
2972613,0,1,0,4
2976475,0,0,0,18
2980650,0,0,0,10
2982580,0,0,0,7
2989649,0,3,0,2
3012731,0,0,0,10
3043887,0,2,0,5
3043887,0,1,0,5
3054851,0,0,0,2
3055331,0,0,0,4
3071484,0,0,0,1
3076253,0,0,0,5
3084070,0,5,0,2
3084070,0,4,0,2
3086714,0,1,0,4
3086714,0,2,0,4
3088740,0,0,0,8
3090910,0,0,0,1
3098971,0,0,0,5
3111151,0,0,0,3
3114891,0,0,0,1
3115713,0,0,0,10
3127592,0,0,1,9
3127592,0,0,2,9
3127592,0,0,5,9
3139912,0,0,0,5
3142420,0,0,0,2
3144416,0,0,8,14
3144416,0,0,6,14
3144416,0,0,2,14
3144416,0,0,3,14
3144416,0,0,5,14
3144416,0,0,4,14
3144416,0,0,9,14
3144416,0,0,7,14
3156520,0,0,0,1
3163958,0,5,0,3
3166530,0,0,0,4
3179818,0,8,0,10
3179818,0,9,0,10
3180446,0,0,0,7
3181204,0,0,0,13
3184260,0,0,1,2
3185405,0,0,0,5
3188159,0,0,0,3
3192256,0,0,0,4
3205441,0,0,0,8
3208728,0,0,0,10
3214771,0,0,0,13
3215589,0,8,0,5
3215589,0,7,0,5
3215589,0,2,0,5
3215589,0,1,0,5
3215589,0,10,0,5
3215589,0,9,0,5
3220635,14,0,0,20
3220635,13,0,0,20
3245580,0,14,0,13
3245580,0,4,0,13
3252645,0,1,0,2
3258581,0,0,0,4
3260907,0,0,21,20
3261932,0,0,1,3
3261932,0,0,5,3
3278664,0,0,0,12
3279819,0,0,0,11
3280974,0,0,0,8
3289188,0,0,0,6
3316869,0,0,0,1
3323751,0,0,0,6
3324464,0,29,0,36
3324464,0,30,0,36
3338069,0,0,0,3
3342930,0,0,0,7
3362548,0,0,0,2
3363212,0,15,0,11
3363684,0,0,0,2
3374774,0,0,0,5
3386775,0,0,0,34
3394461,0,32,0,22
3394461,0,33,0,22
3401713,0,6,0,3
3401713,0,5,0,3
3412087,0,7,0,5
3412087,0,8,0,5
3412087,0,6,0,5
16817,0,16,0,22
16987,0,6,0,2
16987,0,7,0,2
36648,0,0,0,3
46547,0,0,0,13
54067,0,3,0,8
